"Incident, Date","Total, Number, of, Dead, and, Missing","Number, of, Survivors","Number, of, Females","Number, of, Males","Number, of, Children","Region, of, Origin","Cause, of, Death","Migration, route","Location, of, death",Coordinates
2019-04-30,2,,1,1,1,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Unspecified, location, in, the, Sahara, desert,, Sudan","26.220846, 18.448899"
2019-04-30,1,,1,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Atbara,, Sudan","34.042331, 17.690454"
2019-04-30,3,,1,1,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Unspecified, location, in, the, Sahara, desert,, Libya","21.384746, 24.663612"
2019-04-30,7,,,,,"Eastern, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Unspecified, location, in, the, Sahara, desert,, Libya","21.384746, 24.663612"
2019-04-30,1,,,1,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Dhobley,, Afmadow, District,, Lower, Juba,, Somalia","42.329444, 2.5"
2019-04-30,2,,2,,,"Eastern, Africa, (P)","Mixed, or, unknown",,"Near, Alexandria,, Egypt","29.945215, 31.13712"
2019-04-30,1,,1,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Bani, Walid,, Libya","14.10823, 31.718439"
2019-04-30,3,,1,1,,"Eastern, Africa, (P)","Mixed, or, unknown",,"Tripoli,, Libya","13.205116, 32.829024"
2019-04-30,3,,1,1,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Bani, Walid,, Libya","14.10823, 31.718439"
2019-04-30,5,,1,2,1,"Eastern, Africa, (P)","Mixed, or, unknown",,"Tripoli,, Libya","13.205116, 32.829024"
2019-04-30,1,,,1,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Sabha,, Libya","14.521091, 26.963269"
2019-05-01,4,5,1,1,2,"Central, America",Drowning,"US-Mexico, border, crossing","Río, Bravo,, near, Del, Río, Val, Verde, County,, Texas,, USA","-100.939984374, 29.333146234"
2019-05-01,1,,,1,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Río, Bravo,, near, Colonia, Santa, Maria,, Coahuila,, Mexico","-100.5166047, 28.7226959"
2019-05-01,1,,,1,,Unknown,Drowning,"Western, Balkans","River, Kupa/Kolpa, in, Žakanje, county,, Croatia ","15.307654499, 45.613822609"
2019-05-01,1,13,,1,,"Western, Asia",Drowning,"Eastern, Mediterranean","Body, recovered, on, beach, in, Bodrum,, Turkey","27.407797996, 37.029691799"
2019-05-01,9,3,1,8,,"Western, Africa",Drowning,"Western, Mediterranean","Unspecified, location, in, the, Gibraltar, Strait,, off, the, coast, of, Tangiers,, Morocco","-5.827087845, 35.86529691"
2019-05-02,1,,,1,,"Sub-Saharan, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Unspecified, location, in, Algeria","19.834348, 3.987656"
2019-05-02,4,8,,,,Unknown,Drowning,"Western, Mediterranean","Unspecified, location, in, the, Gibraltar, Strait, off, the, coast, of, Morocco","-5.827087845, 35.86529691"
2019-05-02,1,4,1,,,Unknown,Drowning,"Western, Mediterranean","Off, the, coast, of, Cap, Espartel,, Tangiers,, Morocco, (Gibraltar, Strait)","-5.982963672, 35.838369395"
2019-05-02,4,,,4,,"Sub-Saharan, Africa, (P)",Violence,,"Arbinda,, Burkina, Faso","14.22495, -0.860624"
2019-05-02,2,,,2,1,"Sub-Saharan, Africa, (P)",Violence,,"Sikire,, Burkina, Faso","14.304578, -0.756404"
2019-05-03,1,,,1,,"Sub-Saharan, Africa, (P)","Mixed, or, unknown",,"Abidjan,, Ivory, Coast","5.34845, -4.024984"
2019-05-03,3,,3,,,"Sub-Saharan, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Lagos,, Nigeria","6.519403, 3.37494"
2019-05-02,1,,,1,,"Eastern, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Oodweyne,, Somalia","45.067997, 9.405992"
2019-05-03,1,,1,,,"Sub-Saharan, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare","Sahara, Desert, crossing","Niamey,, Niger","13.508763, 2.123324"
2019-05-03,2,,,2,,"Sub-Saharan, Africa, (P)","Mixed, or, unknown",,"Tamanrasset,, Algeria","22.780989, 5.518411"
2019-05-03,1,,1,,,"Sub-Saharan, Africa, (P)",Violence,,"Gao,, Mali","16.261959, -0.028555"
2019-05-05,1,,,1,,"Sub-Saharan, Africa, (P)","Mixed, or, unknown",,"Abidjan,, Ivory, Coast","5.34845, -4.024984"
2019-05-05,1,,,1,,"Sub-Saharan, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Tambacounda,, Senegal","13.76998, -13.671278"
2019-05-03,1,,1,,,"Sub-Saharan, Africa, (P)",Drowning,"Western, Mediterranean","Body, found, on, beach, in, Azla,, Tetouan,, Morocco, (Alboran, Sea)","-5.2421669, 35.5517323"
2019-05-03,12,5,4,,5,"Southern, Asia",Drowning,"Eastern, Mediterranean","Off, the, coast, of the, island, of, Ciplak,, province, of, Balikesir,, Ayvalik,, Turkey","26.57642698, 39.290756355"
2019-05-04,5,,2,2,2,"Southern, Asia, (P)","Mixed, or, unknown",,"Bangkok,, Thailand","100.403506, 13.62403"
2019-05-05,8,,2,2,2,"Southern, Asia, (P)","Mixed, or, unknown",,"Chittagong, Division,, Bangladesh","91.862493, 22.352094"
2019-05-04,1,,1,,,"Western, Africa","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Western, Mediterranean","Body, recovered, 1, mile, off, the, Port, of, Algeciras,, Cádiz,, Spain, (Gibraltar, Strait)","-5.363376372, 36.076291184"
2019-05-04,1,,,1,,"Central, America","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Train, tracks, near Calzada, Ignacio, Zaragoza,, in, Colonia, Tepeyac,, Puebla,, Mexico","-98.176404242, 19.072646809"
2019-05-05,4,,,,,"Southern, Asia",Drowning,,"Off, the, cost, of, Nongsa,, Batam, Islands,, Riau, Islands, Province,, Malaysia","104.155461901, 1.922841617"
2019-05-05,2,5,1,1,1,"Central, America","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Between, Comitán, de, Domínguez, and, San, Cristóbal, de, las, Casas,, Chiapas,, Mexico","-92.259368269, 16.416331403"
2019-05-05,2,,1,1,,"Sub-Saharan, Africa, (P)","Mixed, or, unknown",,"Ougadougou,, Burkina, Faso","12.368721, -1.52105"
2019-05-06,1,,1,,,"Sub-Saharan, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Kaya,, Burkina, Faso","13.089834, -1.086697"
2019-05-07,4,,1,2,2,"Sub-Saharan, Africa, (P)","Mixed, or, unknown",,"Unspecified, location, in, Algeria","23.338396, -1.307491"
2019-05-05,1,,1,,,"South, America",Drowning,"US-Mexico, border, crossing","Río, Bravo, near, Calle, Hidalgo,, Nuevo, Laredo,, Tamaulipas,, Mexico","-99.489473063, 27.495635827"
2019-05-06,1,,,1,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Río, Bravo,, near, El, Sinaí,, Nuevo, Laredo,, Tamaulipas,, Mexico","-99.508511442, 27.499010531"
2019-05-06,4,3,2,,,"Southern, Asia",Drowning,,"Naf, River,, on, the, border, between, Bangladesh, and, Myanmar","92.260971125, 21.002674422"
2019-05-06,1,,1,,,Caribbean,Violence,,"Calle, 5a, Sur, and, 6a, Oriente,, Tapachula,, Chiapas,, Mexico","-92.261950526, 14.901059828"
2019-05-07,9,,,,,"Sub-Saharan, Africa, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water",,"Almarkadji,, Algeria","23.073946, -1.419583"
2019-05-09,1,,1,,1,"Sub-Saharan, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Unspecified, location, in, Guinea","9.971204, -9.397013"
2019-05-10,1,,,1,,"Sub-Saharan, Africa, (P)",Violence,,"Nassoumbou,, Burkina, Faso","14.409062, -1.551727"
2019-05-07,1,11,,1,,"Northern, Africa",Drowning,"Western, Africa, /, Atlantic, route, to, the, Canary, Islands","Body, found, on, coast, near, Caleta, del, Mariscadero,, Tinajo,, Lanzarote, (Spain)","-13.7675788, 29.0638308"
2019-05-07,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.23042, 32.29458"
2019-05-08,1,,,1,,"Central, America",Violence,,"Near, train, tracks, in, Salto, de, Agua,, Chiapas,, Mexico","-92.338776619, 17.555709223"
2019-05-08,1,,,1,,"Central, America",Drowning,"US-Mexico, border, crossing","Río, Bravo,, near, Ejido, Santo, Domingo,, Guerrero,, Coahuila,, Mexico","-100.30224752, 28.330829836"
2019-05-08,2,24,1,,1,"Northern, Africa",Drowning,"Western, Mediterranean","Playa, de, Castilnovo,, Conil, de, la, Frontera,, Cádiz,, Spain, (Gibraltar, Strait)","-6.0873922, 36.2641224"
2019-05-10,2,,,2,,"Sub-Saharan, Africa, (P)",Violence,,"Arbinda,, Burkina, Faso","14.22495, -0.860624"
2019-05-09,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.135886, 32.135866"
2019-05-10,3,,1,1,,"Sub-Saharan, Africa, (P)","Mixed, or, unknown",,"Kidal,, Mali","18.451348, 1.409297"
2019-05-11,4,,1,1,,"Sub-Saharan, Africa, (P)","Mixed, or, unknown",,"Bobo, Dioulasso,, Burkina, Faso","11.158826, -4.306153"
2019-05-12,1,,,1,1,"Sub-Saharan, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Unspecified, location, in, the, Sahara, Desert,, Niger","20.684159, 11.519096"
2019-05-10,59,16,,,,Unknown,Drowning,"Central, Mediterranean","Off, the, coast, of, Kerkennah,, Tunisia., Boat, departed, from, Libya.","11.321992814, 34.643922078"
2019-05-10,3,,,3,,"Western, /, Southern, Asia, (P)","Accidental, death","Western, Balkans","Bodies, found, inside, abandoned, facility, of, the, former, Bratstvo, printing, house,, Gornje, Prekounje,, Bihac,, Bosnia, and, Herzegovina","15.879408028, 44.811812617"
2019-05-10,1,,,1,,"Central, America","Vehicle, accident, /, death, linked, to, hazardous, transport","US-Mexico, border, crossing","Interstate, highway, I-10, East, near, Schuster, Avenue, near, the, University, of, Texas, at, El, Paso,, El, Paso, County,, Texas,, USA","-106.506078588, 31.763443183"
2019-05-10,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-112.824617, 32.731083"
2019-05-11,1,2,,1,,"Central, America","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Train, tracks, near, Achotal,, San, Juan, Evangelista,, Veracruz,, Mexico","-95.131446728, 17.73107187"
2019-05-11,1,,,1,,"Southern, Asia, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water",,"Yangon, Division,, Myanmar, (en, route, to, Thailand)","96.062731, 16.991318"
2019-05-12,1,,,1,,"Sub-Saharan, Africa, (P)",Violence,"Sahara, Desert, crossing","Unspecified, location, in, Algeria,, near, border, with, Niger","20.008058, 5.873958"
2019-05-13,2,,,2,,"Sub-Saharan, Africa, (P)",Violence,,"Gorgadji,, Burkina, Faso","14.032179, -0.519254"
2019-05-13,1,,,1,,"Sub-Saharan, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Timbuktu,, Mali","16.765672, -3.002443"
2019-05-12,3,,,3,1,"Southern, Asia, (P)","Mixed, or, unknown",,"On, a, boat,, off, the, coast, of, Pattani,, Thailand","101.720689, 6.663116"
2019-05-12,3,37,2,,1,"South, America","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Road, near, Cúnquer,, Cantón, Bolívar,, Carchi,, Ecuador","-77.9426706, 0.4620818"
2019-05-12,1,,,1,,"Western, /, Southern, Asia, (P)",Drowning,,"Evros/Meriç, river,, near, Didymoteicho,, Greece","26.509923237, 41.327261928"
2019-05-12,1,,,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.11957, 32.40015"
2019-05-12,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.12102, 32.40818"
2019-05-12,1,,,,,Unknown,"Mixed, or, unknown","Central, Mediterranean","Off, the, coast, of, Qarapoli,, Libya","13.708121985, 32.818811709"
2019-05-13,1,,,,,"Western, /, Southern, Asia, (P)","Mixed, or, unknown","Turkey-Europe, land, route","Evros/Meriç, river,, Yenikarpuzlu,, Ipsala, district,, Edirne,, Turkey","26.226310597, 40.850428559"
2019-05-13,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.1353, 32.4073"
2019-05-13,1,1,,1,,"Latin, America, /, Caribbean, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Train, tracks, in, Mesillas,, Ramos, Arizpe,, Coahuila,, Mexico, ","-101.007119515, 25.805945517"
2019-05-13,5,3,,,,"Western, Asia",Drowning,"Eastern, Mediterranean","Off, the, coast, of, Chekka,, Lebanon, en, route, to, Cyprus","35.46993009, 34.37523206"
2019-05-13,1,4,1,,1,"Central, America","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Highway, between, Villahermosa, and, Macuspana,, near, Dos, Montes,, Tabasco,, Mexico","-92.821729096, 17.978890812"
2019-05-13,1,,,1,,"Central, America",Drowning,"US-Mexico, border, crossing","All, American, Canal,, Calexico,, Imperial, County,, California,, USA","-114.741105154, 32.721602777"
2019-05-13,3,,,3,,"Sub-Saharan, Africa, (P)",Violence,,"Unspecified, location, en, route, to, Gorgadji,, Burkina, Faso","14.020147, -0.514727"
2019-05-13,1,,,1,,"Sub-Saharan, Africa, (P)",Violence,,"Koro,, Mali","14.071406, -3.083854"
2019-05-13,2,,1,1,,"Sub-Saharan, Africa, (P)",Violence,,"Bandiagara,, Mali","14.348009, -3.609872"
2019-05-13,1,,,1,,"Sub-Saharan, Africa, (P)",Violence,,"Sevare,, Mali","14.522374, -4.095712"
2019-05-14,3,,,2,1,"Sub-Saharan, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Between, Ouagadougou, and, Bobo-Dioulasso,, Burkina, Faso","11.770559, -2.92614"
2019-05-14,3,,,3,1,"Sub-Saharan, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Bobo, Dioulasso,, Burkina, Faso","11.158826, -4.306153"
2019-05-16,13,,1,1,,"Sub-Saharan, Africa, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water",,"Unspecified, location, in, Algeria","23.338396, -1.307491"
2019-05-16,7,,1,1,,"Sub-Saharan, Africa, (P)","Mixed, or, unknown",,"Timbuktu,, Mali","16.765672, -3.002443"
2019-05-14,1,,,1,1,"Central, America","Sickness, /, lack, of, access, to, adequate, healthcare",,"Died, in, the, regional, hospital, of, Tzompantepec,, Tlaxcala,, Mexico","-98.1183245, 19.40866"
2019-05-14,1,,,1,1,"Central, America","Sickness, /, lack, of, access, to, adequate, healthcare","US-Mexico, border, crossing","Entered, the, US, via, El, Paso,, Texas,, where, he, was, immediately, hospitalized., Died, approximately, 1, month, later, in, hospital.","-106.4850217, 31.7618778"
2019-05-14,3,,2,1,2,"Southern, Asia, (P)","Mixed, or, unknown",,"Ranong,, Thailand","98.806394, 10.377719"
2019-05-15,1,,,1,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","West, Side, Main, Canal, Seeley,, Imperial, County,, California,, USA","-115.686670062, 32.788874333"
2019-05-15,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-113.002083, 32.085083"
2019-05-15,22,,,,,"Western, /, Southern, Asia, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","Iran, to, Turkey","Various, locations, in, Van,, Turkey,, near, border, with, Iran","44.242474772, 38.701231409"
2019-05-16,5,39,,,,"Western, /, Southern, Asia, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Unspecified, location, on, the, Van-Ercis, highway,, Turkey","43.307213903, 38.658925649"
2019-05-16,3,23,2,1,1,"Western, Africa",Drowning,"Western, Africa, /, Atlantic, route, to, the, Canary, Islands","Two, nautical, miles, southeast, of, Muelle, de, Arguineguín,, Gran, Canaria,, Spain","-15.758543963, 27.624075902"
2019-05-16,1,,,1,,Caribbean,Drowning,,"Northwestern, shore, of, Lake, Champlain,, Québec,, Canada","-73.363652063, 45.015152345"
2019-05-16,29,1,2,20,,"South, America",Drowning,"Venezuela, to, Caribbean","Unspecified, location, between, Güiria,, Venezuela, and, Trinidad, and, Tobago","-61.98516362, 10.4828589"
2019-05-17,2,,,2,,"Sub-Saharan, Africa, (P)","Mixed, or, unknown",,"Unspecified, location, in, Algeria","23.338396, -1.307491"
2019-05-17,8,,1,1,,"Sub-Saharan, Africa, (P)","Mixed, or, unknown",,"Unspecified, location, in, Algeria","23.338396, -1.307491"
2019-05-19,1,,,1,,"Sub-Saharan, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Unspecified, location, in, Burkina, Faso","14.281303, -0.46162"
2019-05-19,1,,,1,1,"Sub-Saharan, Africa, (P)","Mixed, or, unknown",,"Kayes,, Mali","14.435103, -11.444687"
2019-05-17,1,,,1,,"Central, America",Drowning,,"Río, El, Novillero,, San, Pedro, Tapanetepec,, near, Chahuites,, Oaxaca,, Mexico","44.242474772, 38.701231409"
2019-05-17,5,,2,2,2,"Southern, Asia, (P)","Mixed, or, unknown",,"Bangkok,, Thailand","100.389169, 13.757094"
2019-05-18,5,,2,1,2,"Southern, Asia, (P)","Mixed, or, unknown",,"Chittagong, Division,, Bangladesh","91.867226, 22.379179"
2019-05-18,3,,2,1,2,"Southern, Asia, (P)","Mixed, or, unknown",,"Bangkok,, Thailand","100.392263, 13.735511"
2019-05-18,1,,1,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Unspecified, location, in, the, Sahara, desert,, Sudan","26.220845, 18.448899"
2019-05-18,1,,1,,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Atbara,, Sudan","34.042331, 17.690454"
2019-05-19,1,,,1,,"Central, America","Mixed, or, unknown","US-Mexico, border, crossing","Near, the, border, wall, along, New, Mexico, State, Road, 9, at, mile, marker, 142,, Doña, Ana, County,, New, Mexico,, USA","-107.209294207, 31.783890468"
2019-05-19,1,,,1,1,"Sub-Saharan, Africa, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water",,"Sevare,, Mali","14.52279, -4.095111"
2019-05-19,3,14,,,,"Eastern, Africa",Drowning,"Comoros, to, Mayotte","East, of, Petite-Terre,, Mayotte,, France","45.25166357, -12.789682767"
2019-05-20,1,,,1,1,"Sub-Saharan, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Bamako,, Mali","12.617282, -7.995856"
2019-05-21,1,,,1,,"Sub-Saharan, Africa, (P)","Mixed, or, unknown",,"Abidjan,, Ivory, Coast","5.34845, -4.024984"
2019-05-20,1,,1,,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Ranch, east, of, the, USBP, checkpoint, on, U.S., Highway, 281, near, Falfurrias,, Brooks, County,, Texas,, USA","-98.078634913, 27.070487529"
2019-05-20,1,,,1,,"Eastern, Africa","Vehicle, accident, /, death, linked, to, hazardous, transport","English, Channel, to, the, UK","A16, motorway,, near, Guemps,, Pas-de-Calais,, France, -, en, route, to, Dunkerque","2.0014273, 50.9329529"
2019-05-20,1,,,1,1,"Southern, Asia, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Unspecified, location, on, the, border,, Iran","44.748659, 37.966327"
2019-05-21,1,,1,,,"Sub-Saharan, Africa, (P)","Mixed, or, unknown",,"Kedougou,, Senegal","12.559796, -12.17459"
2019-05-22,1,,,1,,"Sub-Saharan, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Unspecified, location, in, Central, African, Republic","9.987734, 22.524866"
2019-05-24,1,,,1,1,"Sub-Saharan, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport","Sahara, Desert, crossing","Faya, Largeau,, Chad","17.923258, 19.108603"
2019-05-21,1,,,,1,"Central, America","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.324317, 32.264533"
2019-05-21,4,1,,3,1,"Southern, Asia","Vehicle, accident, /, death, linked, to, hazardous, transport","Western, Balkans","In, hospital, after, being, found, inside, truck, in, Futog,, Novi, Sad,, Serbia,Inside, truck, in, Futog,, Novi, Sad,, Serbia","19.7159502, 45.2419366"
2019-05-21,1,8,,1,,"Middle, Africa",Drowning,"Western, Mediterranean","Off, the, coast, of, Tangiers,, Morocco, (Gibraltar, Strait)","-5.885681623, 35.893057404"
2019-05-21,1,,,1,,"Sub-Saharan, Africa, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Near, the, port, of, Tangier,, Morocco","-5.841888903, 35.716289967"
2019-05-25,3,10,,3,,"Western, Africa","Mixed, or, unknown","Sahara, Desert, crossing","Desert, near, Agadez,, Niger","7.9773382, 16.96338"
2019-05-22,3,69,3,,,Unknown,Drowning,"Western, Mediterranean","Unspecified, location, off, the, coast, of, Larache,, Morocco, (Gibraltar, Strait)","-6.317684486, 35.277774465"
2019-05-22,1,,,1,,"South, America","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Road, near, El, Diamante,, Pamplonita,, Norte, de, Santander,, Colombia","-72.6370798, 7.5696934"
2019-05-22,2,,,2,,"Southern, Asia, (P)","Mixed, or, unknown",,"On, the, border, of, Thailand, and, Malaysia","101.268351, 5.829101"
2019-05-22,2,,1,1,,"Southern, Asia, (P)","Mixed, or, unknown",,"Off, the, coast, of, Kedah,, Malaysia","100.153783, 6.162062"
2019-05-22,2,,,2,,"Southern, Asia, (P)","Mixed, or, unknown",,"Near, Chiang, Mai,, Thailand","98.903799, 18.827558"
2019-05-23,1,,,1,,"Middle, Africa","Mixed, or, unknown","Darien, Gap","Between, Municipality, of, Necocli,, Uraba, Department,, Colombia, and, Darien, Gap,, Panama","-77.8367282, 7.8681713"
2019-05-23,1,,,1,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Río, Bravo,, 1, mile, from, Eagle, Pass, Port, of, Entry,, Maverick, County,, Texas,, USA","-100.510720789, 28.699966873"
2019-05-23,5,,,5,,Unknown,Drowning,"Central, Mediterranean","Unspecified, location,, off, the, coast, of, Libya","12.535119753, 32.992742013"
2019-05-23,3,,,1,,"Latin, America, /, Caribbean, (P)",Drowning,"US-Mexico, border, crossing","Río, Bravo,, near, ""El, Chalan"",, Díaz, Ordaz,, Tamaulipas,, Mexico","-98.56601633, 26.240047494"
2019-05-23,1,,,,,"Sub-Saharan, Africa, (P)",Drowning,"Western, Mediterranean","Body, recovered, on, Malabata, beach,, near, Tangiers,, Morocco, (Gibraltar, Strait)","-5.770811859, 35.781157024"
2019-06-04,1,,1,,,"Sub-Saharan, Africa, (P)","Mixed, or, unknown",,"Bamako,, Mali","12.617282, -7.995856"
2019-05-24,2,,1,1,,"Southern, Asia, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water",,"Chittagong, Division,, Bangladesh","91.863837, 22.347477"
2019-05-24,3,,,3,,"Southern, Asia, (P)","Mixed, or, unknown",,"Near, Chiang, Mai,, Thailand","98.903799, 18.827558"
2019-05-24,1,,1,,1,"Southern, Asia, (P)","Harsh, environmental, conditions, /, lack, of, adequate, shelter,, food,, water",,"Off, the, coast, of, Pattani,, Thailand","101.407743, 6.920721"
2019-05-24,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.52195, 32.2867"
2019-05-24,1,,,1,,"Latin, America, /, Caribbean, (P)","Mixed, or, unknown","US-Mexico, border, crossing","Pima, Country, Office, of, the, Medical, Examiner, jurisdiction,, Arizona,, USA, (see, coordinates, for, exact, location)","-111.57955, 32.251733"
2019-05-24,1,,1,,,"Latin, America, /, Caribbean, (P)","Vehicle, accident, /, death, linked, to, hazardous, transport",,"Train, tracks, on, line, Puente, Negro-Las, Blancas,, KM, 94,, near, Sabinas,, Coahuila,, Mexico","-101.087204211, 27.870433743"
2019-05-26,1,,,1,,"Eastern, Africa, (P)","Mixed, or, unknown",,"Hayu,, Ethiopia,, on, border, with, Djibouti","41.809897, 11.734882"
2019-05-26,1,,1,,,"Eastern, Africa, (P)","Mixed, or, unknown",,"Dikhil,, Djibouti","42.368422, 11.103113"
2019-05-27,1,,,1,,"Eastern, Africa, (P)","Mixed, or, unknown",,"Tripoli,, Libya","13.205116, 32.829024"
2019-05-27,1,,,1,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Ajdabiya,, Libya","20.385981, 29.864464"
2019-05-29,3,,,3,,"Southern, Asia",Violence,,"Close, to, Thanonthongchai, village,, Mae, Lamao, subdistrict,, Mae, Sot, district,, Tak, province,, Thailand","98.7411219, 16.8130067"
2019-05-31,2,,1,1,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Unspecified, location, in, the, Sahara, desert,, Libya","21.384746, 24.663612"
2019-05-31,2,,,2,,"Eastern, Africa, (P)","Mixed, or, unknown","Sahara, Desert, crossing","Bani, Walid,, Libya","14.10823, 31.718439"
2019-05-31,3,,,3,,"Eastern, Africa, (P)",Violence,"Sahara, Desert, crossing","Bani, Walid,, Libya","14.10823, 31.718439"
2019-05-31,4,,1,1,,"Eastern, Africa, (P)",Violence,"Sahara, Desert, crossing","Unspecified, location, on, the, Egypt-Libya, border","24.994368, 23.106927"
2019-05-31,1,,,1,,"Eastern, Africa, (P)",Violence,"Sahara, Desert, crossing","Ajdabiya,, Libya","20.385981, 29.864464"
2019-06-06,1,,1,,1,"Sub-Saharan, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Koupela,, Burkina, Faso","12.179216, -0.351305"
2019-05-25,1,,,1,,Caribbean,"Sickness, /, lack, of, access, to, adequate, healthcare",,"Unspecified, location, in, Mexico, City,, Mexico","-99.133208, 19.4326077"
2019-05-25,1,,,1,,"Western, /, Southern, Asia, (P)",Drowning,"Turkey-Europe, land, route","Evros/Meriç, river,, Enez, district,, Edirne,, Turkey","26.080759291, 40.729380637"
2019-06-06,1,,,1,,"Sub-Saharan, Africa, (P)","Sickness, /, lack, of, access, to, adequate, healthcare",,"Cotonou,, Benin","6.369104, 2.387595"
